date,calories_burned,steps,distance,floors,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,workout
26/03/2017,"2,455","9,685",7.31,0,"1,228",162,10,40,"1,015",none
27/03/2017,"2,500","8,274",6.3,0,"1,219",179,13,29,"1,071",crossfit
28/03/2017,"2,574","9,855",7.44,0,"1,221",150,27,42,"1,143",crossfit
29/03/2017,"2,274","7,388",5.58,0,"1,276",164,0,0,778,crossfit
30/03/2017,"2,354","8,370",6.32,0,"1,249",166,23,2,890,crossfit
31/03/2017,"2,276","7,605",5.74,0,"1,279",143,11,7,776,none
01/04/2017,"2,319","7,420",5.6,0,"1,415",19,6,0,97,none
02/04/2017,"3,802","30,520",23.04,0,"1,440",0,0,0,0,none
03/04/2017,"2,355","8,210",6.2,0,"1,420",0,0,20,188,crossfit
04/04/2017,"2,380","7,265",5.49,0,"1,274",119,17,30,887,crossfit
05/04/2017,"2,440","8,169",6.22,0,"1,253",136,10,41,971,crossfit
06/04/2017,"2,442","7,375",5.57,0,"1,238",158,12,32,990,crossfit
07/04/2017,"2,320","8,108",6.17,0,"1,270",144,19,7,831,none
08/04/2017,"3,223","20,454",15.44,0,"1,055",234,56,95,"1,979",none
09/04/2017,"2,541","10,849",8.19,0,"1,249",128,20,43,935,none
10/04/2017,"2,408","7,877",6,0,"1,258",158,4,20,933,crossfit
11/04/2017,"2,380","7,768",5.86,0,"1,280",111,14,35,880,crossfit
12/04/2017,"2,395","7,578",5.72,0,"1,271",135,7,27,904,crossfit
13/04/2017,"2,669","11,415",8.67,0,"1,212",165,18,45,"1,248",crossfit
14/04/2017,"2,458","9,567",7.22,0,"1,397",43,0,0,168,none
15/04/2017,"2,566","11,477",8.67,0,"1,440",0,0,0,0,none
16/04/2017,"3,372","24,541",18.53,0,"1,440",0,0,0,0,none
17/04/2017,"3,221","20,994",15.85,0,"1,440",0,0,0,0,none
18/04/2017,"2,322","7,853",5.93,0,"1,344",76,0,20,528,crossfit
19/04/2017,"2,663","10,727",8.15,0,"1,186",175,33,46,"1,272",crossfit
20/04/2017,"2,606","9,946",7.51,0,"1,212",162,29,37,"1,185",crossfit
21/04/2017,"2,395","7,355",5.6,0,"1,268",123,15,34,913,crossfit
22/04/2017,"2,505","11,159",8.43,0,"1,074",109,59,44,"1,069",none
23/04/2017,"2,281","6,964",5.26,0,"1,247",176,8,9,823,none
24/04/2017,"2,439","7,766",5.91,0,"1,250",163,7,20,978,crossfit
25/04/2017,"2,294","7,377",5.62,0,"1,371",49,0,20,432,crossfit
26/04/2017,"2,264","7,530",5.73,0,"1,420",0,0,20,188,crossfit
27/04/2017,"2,559","9,626",7.27,0,"1,171",145,20,39,"1,114",crossfit
28/04/2017,"2,323","6,971",5.32,0,"1,300",118,2,20,803,crossfit
29/04/2017,"2,592","10,956",8.27,0,"1,089",250,12,20,"1,239",none
30/04/2017,"2,454","9,921",7.49,0,"1,225",151,35,29,"1,022",none
01/05/2017,"3,205","20,873",15.76,0,"1,093",173,44,130,"1,926",none
02/05/2017,"2,421","7,954",6.01,0,"1,263",127,15,35,945,crossfit
